approximately	xấp xỉ;
bestow	ban tặng
betray one’s country	bán nước
bevel pinion	bánh khía hình nón
bilateral meeting	buổi họp song phương
billiards	bi di
bimonthly	hai tháng một lần
biscuit	bánh quy
bisexual	bán nam bán nữ
biting	buốt
biweekly publication	bán guyệt san
black american	Mỹ đen
black flag (rebels)	Cờ Đen
black glutinous rice cake	bánh gai
bladder	bong bóng
bleat (of a goat)	be be
blockade	bao vây
blood stained hand	bàn tay nhúng máu
blossom	Hoa
blustering bully	anh hùng rơm
board of directors	ban giám đốc
board of directors or trustees	ban quản trị
boast	ba hoa
bogie wheel	bio
bomb explosion	bom nổ
book in sanskrit	Phạn thư
book of prophesy (c. 1670)	Sấm Truyền Ca
book on military tactics	binh thư
border	biên giới
border guard	biên phòng
border region	biên cảnh
border security	an ninh biên giới
boring	buồn
botanical (garden)	bách thảo
bottom’s up!	Cạn bôi!
boudoir	buồng khuê
boundary	biên cương
bow in admiration	bái phục
bow one’s respect to (a king) from a distance	bái vọng
bower	buồng khuê
box of matches	bao diêm
brake (pedal)	bàn đạp thắng chân
brave	anh dũng
bread	bánh
bread and butter	bánh mì phết bơ
bread spread with butter	bánh mì phết bơ
break open; (2) to stew	bung
bright and cheerful	au
brilliance	anh hoa
british commonwealth	Liên Hiệp Anh
british embassy	Sứ Quán Anh
broaden	bành
bromine	brôm
brother and sister	anh em ruột
brother in law (husband’s oldest brother)	anh chồng
brother in law (wife’s older brother)	anh trai của vợ
brothers	anh em
brothers and sisters	anh em chị em
brothers by the same mother	bào huynh
brothers in law	anh em cột chèo
brown american	Mỹ nâu
bruce lee	Lý Tiểu Long
brush	bàn chải
bubble	bong bóng
bucket	ben
buddha	Phật
buddhism	Phật Giáo
buddhist (person)	Phật Tử
buddhist matters	Phật sự
buddhist nun	bà vãi
buddhist protection society	Tăng Đoàn Bảo Vệ Chánh Pháp
buddhist studies	Phạn học
buddhist trinity	Tam Bảo
budget subsidies	bao cấp
bugbear	ba bị
bull’s eye	bia bắn
bull’s eye; (3) beer	bia
bunkmate	bàn đồng ngũ
bureau	buồng giấy
bureaucracy	an liêu
burma	Miến Điện
burma (short for miến điện)	Miến
burst out	bung ra
bus	bu‎ýt
bushel	ang
bust	bán thân
butt	báng súng
butterfly	buớm
buttock	bàn tọa
cabin; (2) bunch; (3) [cl for (body) organs]	buồng
cage	buồng
cake	bánh ngọt
cake made of glutinous rice	bánh khúc
cake made of glutinous rice flour dipped in lye	bánh tro
cake made of sweet potato meal (mixed with rice flour)	bánh khoai
calamity; (4) to spread	biến
california	Cali
call on	bái kiến
calm	an lòng
cambodia	Cao Mên
cambodian	Cao Miên
cambodian; (2) to sleep; (3) cotton; (4) to be long	Miên
cambodia’s future is still very unstable	Tương lai Cam Bốt còn nhiều bấp bênh
canada	Gia Nã Đại
cancel	bác bỏ
cane	ba toong
cannon fodder	bia đỡ đạn
canteen	bi đông
cantharides	ban miêu
cao dai (a vietnamese religion)	Cao Đài
cao dai (vietnamese religion)	Cao Đài Giáo
cao dai pope	Hộ Pháp Cao Đài
cape of good hope	Mũi Hảo Vọng
capitulum	buồng hoa
car bomb	bom xe hơi
careless	ba toác
careless and fast	ba chớp ba nhoáng
case	bao
cassia grandis	and ginger
catharsis	ban miêu
catholic church	Giáo Hội Công Giáo
cedar	bách
censor cardinal (cao dai)	Chưởng Pháp
censorship board	ban kiểm duyệt
centenary	bách chu niên
centennial celebration	bách chu niên
centigrade	bách phân
central africa	Trung Phi
central america	Trung Mỹ
central asia	Trung Á
central bank	Ngân Hàng Trung Ương
central europe	Trung Âu
central vietnam	Trung Việt Nam
cerebral hemisphere	bán cầu não
ceremony	buổi lễ
chamber	buồng
chamber (of a gun)	buồng đạn
champa	Chiêm Thành
chancellor (cao dai)	Chưởng Ấn
change	biến ảo
change into	biến thành
change jobs	bay nhẩy
charge	buộc tội
chart	biểu
chaudoc	Châu Đốc
checkerboard	bàn cờ
checkpoint	biên ải
cheesecake	bánh kem
chemical bomb	bom hóa học
chemical security	an ninh hóa học
cherry	anh đào
chessboard	bàn cờ
chicken coop	bu gà
chieftain	anh chị
child	anh nhỉ
china	Trung Quốc
china lost to japan	Trung Quốc thua Nhật Bản
china shares a border with 14 countries	Trung Quốc chung biên cương với 14 quóc gia
chinese	Hán
chinese (language)	Hoa Ngữ
chinese character	Hán tụ
chinese communists	Trung Cộng
chinese press agency	Tân Hoa Xã
choppy sea	biển sôi động
christ	Ki Tô
christian	Cơ Đốc
christianity	Ki Tô Giáo
christopher columbus	Kha Luân Bố
chromatic scale	bán âm giai
chronicles	biên niên sử
chủ tịch (chairman	CT
circle	bao quanh
clarify	biện minh
classroom	buồng học
cleaning brush	bàn chải thông nòng
clear-sighted and able	anh minh
cling	bám
cling to	bám giữ
close (sibling-like) friend	anh em bạn
close by	bàng tiếp
close or intimate friend; to flatter	a mi
clothes brush	bàn chải quần áo
clutch	bám víu
coast guard	Lực lượng Tuần duyên
coat	bành tô
cochichina	Nam Kỳ
cock	buồi
coconut cake	bánh dừa
codonopsis	ba kích
coerce; (3) cypress	bách
collateral	bàng hệ
come off	bong
come on!; outward journey or trip	a lê
comfortable	an lòng
command	binh đoàn
commando	biệt kích
comment humorously or excitedly	bàn tán
commentary	bài vợ bình luận
commerce	Bộ Trưởng Thương Mại
commission	ban
committee	ban
communist china	Trung Cộng
communist vietnam	Việt Nam Cộng Sản
communist vietnamese	Việt Cộng
compatriot	anh em đồng bào
compel	bách
compelled (to do something); against one’s will	buộc lòng
compile; (4) edge	biên
compile; compilation	biên dịch
complicate matters	bày trò
composition	bài văn
comprise	bao gồm
comrades	anh em
con-son (island)	Côn Sơn
conceive (impractical things)	bày vẽ
concert	buổi hòa nhạc
concoct	bày mưu tính kế
concubine	bá vương
conditional sale	bán đợ
confectionary	bánh kẹo
conference table	bàn hội nghị
confucian	Khổng
confucian scholar	Nho giả
confucian scholars (collective)	Nho lâm
confucianism	Nho đạo
confucius	Khổng
confused	bàng hoàng
congratulate	ban khen
consecrate one’s baby to god	bán khoán
consecrated bread	bánh thánh
console	bàn điều khiển
constitutional court	Viện Bảo Hiến
container	ang
contemporary	Việt Nam cận đại
content	an phận
content with one’s poverty	an bần
content with one’s situation	an phận thủ thường
contour flying	bay vòng quanh
contradict	bác lời
convalesce	an dưỡng
conventional bomb	bom thường
conversant with	am thục
convert; variable; (3) catastrophe	biến
conveyance of property to another	bán đoạn
cook	anh bếp
cook (male)	anh nuôi
cook for a long time	bung
copy	biên chép
corporation	TCT
corsair	Tàu ô
cost	biểu phí
count	bá tước
counterpart	bày vai
country	bang
couple	biền
couplet	biền ngẫu
courageous	anh dũng
course)	bàng thính
court officials	bá quan
courthouse	biệt thự
cousin	anh họ
cousins	anh em họ
cover	bao hàm
covering; to envelope	bao bọc
crab	bay chếch ngang
cream cake	bánh kem
crisis	biến động
crisp shrimp pastry	bánh tôm
crock	ang
crook	ba que
crushed	be bét
cryptography	an ninh mật mã
cure-all	bách giải
current transformer	biến dòng điện
curry favor with	a
cutting	buốt
cylindrical glutinous rice cake	bánh tét
czechoslovakia	Tiệp Khắc
cộng hòa nhân dân trung hoa (people’s republic of china)	CNT
cộng hòa xã hội chủ nghĩa việt nam (the socialist republic of vietnam)	CXCV
cộng sản (communist)	CS
cộng sản việt nam (communist vietnam)	CSVN
cộng đồng việt nam	CĐVN
dangle	buông thõng
dark room	buồng tối
dash; (4) to gather; (5) to flatter	a
data security	an toàn dữ liệu
dawn	buổi bình minh
day before tết	ba mươi Tết
day-boarder	bán trú
dazed	bàng hoàng
dazzled	bàng hoàng
deal	buôn
death notice	ai tín
debate	biện bác
decide by discussion	bàn định
deck	boong tàu
deck (of a ship)	boong
decorate	bài trí
defecate	bài tiết
definitive sale	bán đoạn mại
deform	biến dạng
dejected	buồn tủi
delayed action bomb	bom nổ chậm
deliberate	bàn luận
demi-	bán
demonstrate	biểu lộ
demonstrate support	bày tỏ sự hậu thuẫn
demonstrate; (3) to say	biểu
department	ban
department of defense	Bộ Quốc Phòng
department of energy	Bộ Trưởng Năng Lượng
depressed	buồn phiền
desk	bàn học
despondent	buồn teo
detach	biệt phái
detached retina	bong võng mạc
detachment	biệt đội
develop	biến hóa
develop; change	biến chuyển
development	biến chuyển
dialectic	biện chứng pháp
dictatorial	bá đạo
differential pinion	bánh khía vi phân
dining room	buồng ăn
dining table	bàn ăn
director of the department of science and industry	Vụ trưởng Vụ Khoa học, Công nghệ
dirge	ai ca
disagreeing brothers	anh em bất hòa
disappear	bay biến
disappointed	buồn nản
disaster	biến
discern	biện biết
discomfort	buợc bội
discourse	biện thuyết
discriminate	biện biết
discuss	biện bác
discuss and organize	bàn soạn
disgrace	bán danh
dishonor	bán danh
dismal	buồn thảm
disorganized	ba lăng nhăng
dispense	ban phát
displacement	bài thủy lượng
displacement tonnage	bài thủy lượng nhẹ
display	biểu diễn
display; (7) means	bài
dispose	bài liệt
dispose troops in battle formation	bài binh bố trận
disseminate widely	bá cáo
dissertation	bài luận
dissolute; to release	buông thả
dissuade from	bàn ra
distinctly	biết rõ trắng đen
distinguished	anh tuấn
distortion	biến hình
distribute	biến
ditto	buộc lòng phải
do or carry out business	buôn bán
dolmen; rock-like	bàn thạch
domestic security	an ninh quốc nội
doubtful	bán tín bán nghi
drama	bi kịch
dramatic poem	bi khúc
drawing of a cake	bánh vẽ
drinks accompanied by female companionship	bia ôm
driver’s cab (of a vehicle)	buồng lái xe
drogue target	bia móc
drop down	bay xuống
drop some words curtly	buông xõng
drug dealing; to deal drugs	buôn bạch phiến
drug smuggling	buôn lậu ma túy
druggist; to dispense	bào chế
dubious	bán tín bán nghi
duffel bag	bao quần áo
dumbbell	an te
dumpling	bánh bao
dumpster	ben
during the day	ban ngày
during the night	ban đêm
duty	bàn giao chức vụ
earl	bá tước
early morning	ban mai
ease	an ủi
easter	Lễ Phục Sinh
easy	an nhàn
eat with and work with)	ba cùng
economic court	Tòa Kinh Tế
economic mean	biện pháp kinh tế
edit	biên soạn
editor	biên tập viên
editorial	bài xã luận
eec	Cộng Đồng Kinh Tế Âu Châu
eject; defecation	bài tiết
elder brother	anh
elder brother (by blood)	anh ruột
eldest brother	anh cả
electrical power regulation	Luật Điện lực
electricity regulatory authority of vietnam (erav)	Cục Điều tiết điện lực
elegance	anh hoa
elegant and clever	anh tú
elegant furniture	bàn nghế nhã
elegy	bi ca
elephant’s ear-shaped flat cake	bánh tai voi
elevation	biể xích
eliminate	bài trừ
elite soldier	binh sĩ tinh nhuệ
elite troops	binh sĩ tinh nhuệ
emblem	biểu tượng
embrace	bao quát
eminent	anh tuấn
empathize with; (3) dust	ai
enclose	bao
encode	biến chữ
encompass	bao quanh
encyclopedia	bách khoa từ điển
encyclopedic	bách khoa
engine-room	buồng máy
english literature	anh văn
enlightened or wise king	anh quân
envelope	bao thơ
epic	anh hùng ca
epidermis	biểu bì
epigraphy	bi ký học
epitaph	bi văn
equal	bày vai
erudite	bác học
erythema	ban đỏ
essay	bài luận
etc.)	ban hành
etc.); (2) sickle	a
eulogize	ai điếu
eulogy	bài điếu văn
europe	Châu Âu
european community	Cộng Đồng (Chung) Âu Châu
european continent	Châu Âu
european economic community	Cộng Đồng Kinh Tế Âu Châu
european union	Khối Cộng Đồng Chung Âu châu
evening	buổi tối
event	biến cố
event; half a day	buổi
events]; session	buổi
ever	bao nhiêu
every time	bao giờ
every two weeks	bán nguyệt san
everybody	ai cũng
everybody likes him	ai cũng ưa nó
everyone	ai nấy
everyone has to	ai cũng phải
everyone is going	ai cũng đi hết
everyone knows	ai cũng biết
everyone says	ai cũng cho
everyone wants to go	ai cũng muốn đi hết
evolve	biến hóa
exam	bài thi
examination paper	bài thi
examining body	ban giám khảo
exception	biệt lệ
exchange views on	bàn bạc
excretion	bài tiết
executive board	ban chấp hành
executive committee	ban chấp hành
exercise	bài tập
exhibit	bày
exile	an trí
exile; banishment	an trí
exiled	biệt xứ
expand	bành trướng
expel	bài tiết
experienced	am luyện
explanation	bác bỏ chuyện
explode (bomb)	bom nổ
expose	biện bạch
expression	biểu thức
extend	bành trướng
extend; (2) byte	bai
extremely sad	buồn teo
fade	bay màu
fairy (woman)	bà tiên
falling down	buông lơi
falun gong	Pháp Luân Công
father and mother	bác mẹ
father superior	Cha bề trên
father’s elder brother	bá phụ
father’s older brother; (2) wise	bác
father’s sister in law	bá mẫu
fattish	beo béo
fbi	Cơ Quan Điều Tra Liên Bang Hoa Kỳ
fda	Cục Quản Trị Lương Thực và Dược Phẩm
federal bureau of investigation	Cơ Quan Điều Tra Liên Bang Hoa Kỳ
federal reserve	Cục Dự trữ Liên bang
federation	Liên Bang Nga
feel like (doing something)	buồn rầu
feel sleepy	buồn ngủ
feeling a biting cold; sharp	buốt
feeling a rather biting cold	buôn buốt
feeling a rather sharp pain	buôn buốt
feeling a sharp pain	buốt
feeling dull	buồn hiu
fellow	anh chàng
fellow citizens	anh em đồng bào
fellow countryman	anh em đồng bào
fence	ba ri e
fetish	bái vật
fetishism	bái vật giáo
fetus	bào thai
fever with eruption	ban bạch
field bag	ba lô
field desk	bàn dã chiến
field kit	ba lô
fifth wheel	bánh thư nam
final sale	bán đoạn mại
fine allusion	bánh vẽ
fine dirt	ai
fine rice vermicelli	bánh hỏi
finland	Phần Lan
fire bomb	bom cháy
firm	an định
first cousin (son of parent’s older sibling)	anh con nhà bác
first cousins	anh em chú bác
fish pond	ao cá
fishpond	ao nuôi cá
fixed income	ba cọc ba đồng
flank protection	biên vệ
flank security	an toàn bên sườn
flight at lower altitude	bay thấp
flit about	bay nhởn nhơ
floating cake	bánh trôi
flowery	bay bướm
fluctuate	biến đổi
fluid flywheel	bánh treo dầu
fly across	bay qua
fly off	bay lên
fly very high	bay bổng
flywheel	bánh trớn
folk song	bài ca dao
follow	a dua
food and drug administration	Cục Quản Trị Lương Thực và Dược Phẩm
foot	bàm chân
football	bóng đá
for one’s life	bán sống bán chất
forced	buộc lòng
forces	binh đội
forecast	an bài
foreign minister	Bộ Trưởng Bộ Ngoại Giao
foreign secretary	Bộ Trưởng Ngoại Giao
foresail	buồm mũi
forlorn	buồn xo
form of address to a young man; (2) england	anh
formal relations	bang giao chính thức
former vietnam	Việt Nam ngày xưa
franchise	bán quyền
fraudulent	biển lận
free	buông thả
french	Tây
french (language)	Pháp ngữ
friends	anh chị em
from the beginning	ban đầu
front wheel	bánh trước
front wheel drive	bánh trước phát động
frontal security	an toàn mặt trước
frontier	biên thùy
frontier area	biên cảnh
frontier guard	biên phòng
frontier pass	biên ải
frowning	bàu bạu
fruits and cakes	bánh trái
fuck	khốn nạn
fuji	Phú Sĩ
fukien	Phúc Kiến
full	anh ách
functional chart	biểu đồ hoạt động
funeral oration	bài điếu văn
furnish (with)	ban cấp
furniture	bàn ghế
garrulous	ba lém
gas bomb	bom hơi ngạt
gate	ba ri e
gear	bánh khía
gear pinion	bánh khía hộp số
gelatin	a giao
general chang kai shek	Tướng Tưởng Giới Thạch
general inspector (cao dai)	Giám Đạo
general secretary of the communist party	Tổng Bí Thư đảng CSVN
generous	bao dung
geneva	Geneve
get loose	buột
get rid of (merchandise)	bán tháo
give	ban
give (a present)	biếu
give as a new year’s gift	bán mở hàng cho ai
giá trị gia tăng (value added tax	GTGT
giám quản	GM
giám đốc (director)	GĐ
gleaming	anh ánh
glibly	bai bải
glide	bán mẫu âm
glimmering	anh ánh
glistening	anh ách ánh
global petroleum commercial bank	Ngân hàng TMCP dầu khí toàn cầu
global times (a chinese daily newspaper)	Hoàn Cầu Thời Báo
global variable	biến toàn cục
gloomily sad	buồn thiu
gloomy	buồn rười rượi
glove	bao tay
glue	a giao
glutinous rice cake	bánh nếp
glutinous rice chupatty	bánh phồng
glutinous rice chupatty mixed with powdered shrimp	bánh phồng tôm
glutinous rice doughnut	bánh rán
glutinous rice dumpling	bánh giầy
go ahead!	a lê
go away	biến mất
go for a constitutional	bách bộ
go for a walk	bách bộ
go to unnecessary lengths	bày vẽ
god	Thượng Đế
goddess of anger	La Sát
good	anh em bạn
goodbye	Tạm biệt
government clerk	bang tá
grab	ben
grandmother	bà cố nội
grandmother; mrs. (form of address for a woman)	bà
grant	ban
grant a favor	ban ơn
graph	biểu đồ
grateful	biết ơn
graze	Ma Cao
greater path buddhism	Phật Giáo đại thừa
greece	Hy Lạp
greek	Hy Lạp
green	biếc
green rice cake	bánh cốm
green-colored pastry	bánh mảnh cộng
greet	bái chào
grief and joy	ai lạc
ground fault coefficient	Hệ số sự cố chạm đất
growl	bàu nhàu
grumble	bàu nhàu
gulf of thailand	Vịnh Thái Lan
guy	anh chàng
had i known (then one would have done something else)	biết thế
hades	Ngọc tuyền
hainan island	Hải Nam
haiphong	Hải Phòng
hairbrush	bàn chải tóc
half a century	bán thế
half a life	bán thế
half century	bán thế kỷ
half thickness	bán hậu tính
half time gear	bánh khía trục cam
half-brother	anh em dị bào
half-colony	bán thuộc địa
half-length	bán thân
half-life (of a radioactive element)	bán sinh
half-sibling	am em dị bào
half-sister	anh em dị bào
half-track	bán xích xa
hallowed memory (of a deceased person)	anh linh
hand	bàn tay
hand over	bàn giao
hang loosely	buông lơi
hanoi	Hà Nội
hanzi	Hán tụ
happening	biến cố
happiness with one’s occupation	an cư lạc nghiệp
happy	an phận
has miss lien arrived yet?	Cô Liên đến chưa?
hatch a plot	bày mưu tính kế
have	bao gồm
have experienced	biết mùi
have improper speech or conduct	ba toác
have one’s itch	buồn mình
having peace of mind	an lòng
having piece of mind	an tâm
hawaii	Hạ Uy Di
hawaiian guitar	Hạ uy cầm
hawk	bán rong
he	anh chàng
he always dresses elegantly	anh ta bao giờ cũng ăn mặt nền nã
he doesn’t have a temperature	Nó không sốt
he has come here	anh ta đến đây, nói là có việc
he is a man of very few words	anh ta ít lời lắm
he is very wicked	Nó ác lắm
he was arrested	Nó bị bắt rồi
he was sentenced to prison for three years	Nó bị kết án ba năm tù
head of a congregation	bang trưởng
health	an ninh
health resort	an dưỡng đường
heart-rending	bi đát
heavenly palace (cao dai)	Hiệp Thiên Đài
heavy-hearted	buồn lòng
hecatomb	bách sinh
hedge hopping	bay là là gần đất
hegemony	bá quyền
helical gear	bánh khía hình soắn ốc
hello1	xin chào 1.
help	bang trợ
hematosis	biến huyết sác
hemi-	bán
hemihedral	bán diện
hemimorph	bán hình
hemiplegia	bán thân bất toại
hemisphere	bán cầu
her	bà ta
herbarium	bách thảo tập
here lies ~ (on a gravestone)	Nơi đây an nghĩ
hermitage	am
hero	anh hào
hero of labor	anh hùng lao động
hero; heroic	anh hùng
heroes	anh hùng hào kiệt
heroic	anh dũng
heroic song	anh hùng ca
heroin dealer	bán xì ke
heroine	anh thư
he’ll probably be here soon	Chắc anh ấy sắp đến
hierarchy	ban thứ
him	anh chàng
hinayana (theravada) buddhism	Phật Giáo tiểu thừa
his anger has subsided	anh ấy đã ngớt giận
his change of mind came out of the blue	anh ta thay đổi ý kiến đột ngột
hispanic-american	Mỹ nâu
historian (cao dai)	Thừa Sử
historic event	biến cố lịch sử
hitler	Hítle
ho chi minh city (saigon)	Thành Hồ
hold on (a second)!	Khoan đã!
hold on to (a military position)	bám trụ
holland	Hòa Lan
holy bread	bánh thánh
holy day	an nhật
homework	bài tập
homework (assignment)	bài làm
hong kong	Hồng Kông
honorific title	bá hộ
host	bánh thánh
house of peers	Hội đồng Quý Tộc
house of representatives	Hạ Viện
hover	bay lượn
how about going to the thanh the (restaurant)?	Lại nhà hàng Thanh Thế đi !
how about you?	Còn ông thì sao?
how can i forget	Quên thế nào được
how come you’ll be gone so long?	Sao ông đi lâu vậy?
how come?	Sao vậy?
how far	bao xa
how many	bao nhiêu
how many times	bao nhiêu lần
how many years	bao nhiêu năm
how many years of age	bao nhiêu tuổi
how much	bao nhiêu
how much?	bao nả
how so?	Sao vậy?
how unfortunate!	Khổ chưa!
howdah	bành tượng
however long	bao lâu
however many	bao nhiêu
however much	bao nhiêu
how’s business these days?	Dạo này ông có phát tài không?
hue (city in vietnam)	Huế
hug; (5) to count; (6) cypress; (7) hegemony	bá
huge	bao la
humble oneself	bái
hydrogen bomb	bom khinh khí
hymn	bài ca
hội đồng quản trị	HĐQT
i haven’t seen you in a long time	Lâu rồi không gặp anh
i knew it (right away)	biết ngay mà
i will	anh sẽ
iaea	Cơ quan nguyên tử năng quốc tế
idle	biếng nhác
idler wheel	bánh truyền xích
idol	bái vật
idolatry	bái thần giáo
iea	Cơ quan năng lượng quốc tế
ill-mannered	ba toác
illusion	bào ảnh
imf	Quỹ Tiền Tệ Quốc Tế
imitate	a tòng
immense	bao la
important event	biến cố quan trọng
in announcements)	a lô
in broad daylight	ban ngày ban mặt
in one’s seat	an vị
in place	an vị
in the afternoon	ban chiều
in the daytime	ban ngày
in the evening	ban tối
in the evening-night	buổi tối
in the morning	buổi sáng
incendiary bomb	bom cháy
include	bao gồm
incombank	Ngân Hàng Thương Mại Quốc Tế
incriminate	buộc tội
independent	biệt lập
index	biểu chỉ dẫn
index; (2) to express	biểu
india	Thiên trúc
indian almond	bàng
indicate agreement	biểu đồng tinh
indicator	biểu số
individualistically heroic	anh hùng cá nhận
indo-pakistani	Hồi Ấn
indolent	biếng nhác
indonesia	Nam Dương
indusium	bao mô
industrial security	an ninh kỹ nghệ
infant	anh hài
infants	anh nhi
infringe	bá chiếm
initially; initial	ban đầu
inner mongolia	Nội Mông
instructor (cao dai)	Tiếp Dẫn Đạo Nhơn
instrument flying	bay nhờ khí cụ
insurrection	biến động
intelligent and handsome	anh tuấn
international atomic energy agency	Cơ quan nguyên tử năng quốc tế
international energy agency	Cơ quan năng lượng quốc tế
international monetary fund	Quỹ Tiền Tệ Quốc Tế
international relations	bang giao
international space station	Trạm Không Gian Quốc Tế
interrupter	anh te ruýp tơ
intimate with	am tường
inverted flight (of a plane)	bay lật úp
inverted flying	bay đảo ngược
investigative committee	ban điều tra
investigator (cao dai)	Truyền Trạng
iraq	I Rắc
iron (for clothes)	bàn ủi
iron curtain	Bức Màn Sắt
irregular	buổi đực buổi cái
islam	Hồi Giáo
islamic	Hồi
iso	Tổ Chức Tiêu Chuẩn Quốc Tế
isolated	biệt tịch
isolated; (2) to disappear	biệt
israel	Do Thái
it’s me	anh đây
ivory symbol of office (of a mandarin)	bài ngà
jacket	bành tô
japan	Nhựt
japan (literary)	Phù Tang
japanese	Nhật
japanese emperor	Nhật Hoàng
japanese industry standard (jis)	Tiêu Chuẩn Kỹ Nghệ Nhật Bản
japanese language or literature	Hòa văn
japanese studies	Hòa học
jelly (glue) made from antlers; megalossaur	ban long
jerusalem	Yêrusalem
jesus	Yêsu
jesus christ	Yêsu Kitô
john	Gioan
judaism	Do Thái giáo
jupiter	Mộc
just a little while ago	ban nẫy
just now	ban nãy
justice minister	Bộ Trưởng Tư Pháp
justify	biện minh
jute bag	bao tải
kansu	Cam Túc
kanto (region of japan)	Quan đông
key	bài giải
keyboard	bàn phím
khmer rouge	Khơ Me Đỏ
khoa học công nghẹ	KHCN
khoa học và kỹ thuật	KH&KT
kin	bà con
king of cambodia	Miên hoàng
kingdom	bá nghiệp
kiss up to; (6) area of 100 square meters	a
kit-bag	ba lô
kitchen god	Táo quân
knapsack	ba lô
kneecap	bánh chè
know a lot about	am hiểu
know ahead of time	biết trước
know for certain	biết đích xác
know how to do (something) be aware of	biết
know well	am tường
know what one did wrong	biết lỗi
knowing that	biết được điều đó
knowledge representation	biểu diễn tri thức
knowledgeable in	am thục
korea	Hàn Quốc
krakow	Cracốp
kremlin	Kremli
kwangtung	Quảng Đông
kyushu (region of japan)	Cửu Châu
lady’s man	anh chàng nịnh đầm
lafayette	La Phương
lament	ai ca
landing wheels	bánh hạ cánh
landlady	bà chủ nhà
landscape target	bia phong cảnh
laos	Lào
lateral	biên âm
lathe	bàn tiện
latin	La Tinh
latino-american	Mỹ nâu
lawyer (cao dai)	Cải Trạng
lazy	biếng
leadership council	ban chỉ đạo
leaflet bomb	bom truyền đơn
learned	bác lãm
learned; (3) to scramble (eggs); (4) cannon; (5) ample	bác
legislative affairs director (cao dai)	Hộ Pháp
leisurely	an nhàn
lenin	Lê Nin
leo	Hải sư
lesser path buddhism	Phật Giáo tiểu thừa
lesson	bài
let go	buông thả
let out	bung ra
let slip out	buột
letter bomb	bom thư
letter to the editor	bài vở
libra	Thiên xúng
libra (constellation)	Thiên bình
lift up	bay ra
lily	bách hợp
lily pond	bàu sen
limit	biên
literate	biết chữ
live in peace	an dật
living	biết đi
living room	buồng khách
liên hiệp quốc	LHQ
load recovery procedure	Trình tự phục hồi phụ tải
local security	an ninh sở tại
local variable	biến cục bộ
log	biên bản
london	Luân Đôn
long for	ao ước
long to	ao ước
loose	buông thả
loose hold	buột tay
loquacious	ba lém
lord	bá chủ
lose one’s prestige	bán danh
lotus pond	ao sen
louis	Lữ Y
lover	a măng
lovers	anh yến
lower	buông
lower the blind	buông mành
luminary	anh tài
luxembourg	Lục Xuâm Bảo
lời tòa soạn	LTS
mac-v (military assistance command - vietnam)	Phái Bộ Viện Trợ Quân Sự
macao or stroke lightly	Ma Cao
madam	bà lớn
magnanimous; to tolerate; tolerance	bao dung
mahayana buddhism	Phật Giáo đại thừa
maid	a hoàn
maidservant	a hoàn
mainland china	Trung Hoa lục địa
make a note (of something); (2) to weave (basket); (3) to edit	biên
make clear	bày tỏ
make or pay a visit	bái kiến
make or translate into vietnamese	Việt hóa
make public	bá cáo
